客户编号,同一信用代码,本月职位刷新数量,本月职位新增数量,职位总数,渠道,渠道字典,城市,公司规模,行业字典,行业,性质字典,公司性质,电话,本月各职能职位发布累计数量排名前三,各职能职位累计发布数量排名前三
a000011,913109008976564433,0,0,415,[zl],"[[zl_CC343938635], [], [], [], [], []]",[],"[{""from"":1000,""to"":9999}]",[12],[保险],[4],[民营],,[],"[{""qty"":30,""jname"":""无责底薪5K+住宿 驰马奥诚招金融销售/实习生/储备干部"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""2880504023@qq.com""}]},{""qty"":30,""jname"":""无责底薪5K+住宿 驰马奥诚招金融销售/实习生/储备干部"",""contacts"":[]},{""qty"":30,""jname"":""无责底薪5K+住宿 驰马奥诚招金融销售/实习生/储备干部"",""contacts"":[]}]"
a000012,no company,1,1,38,[zl],"[[zl_CC137956819, zl_CZ137956810], [], [], [], [], []]","[, 北京]","[{""from"":500,""to"":999}]","[28, 30]","[媒体/出版/影视/文化传播, 广告/会展/公关]",[4],[民营],,"[{""qty"":1,""jname"":""3D美术设计师"",""contacts"":[]}]","[{""qty"":5,""jname"":""应届毕业生"",""contacts"":[]},{""qty"":5,""jname"":""实习生"",""contacts"":[]},{""qty"":3,""jname"":""销售助理"",""contacts"":[]}]"
a000013,no company,0,0,7,[gj],"[[], [], [], [], [], [gj_106051873]]",[],"[{""from"":10000,""to"":-1}]",[10],[金融/银行/投资/基金/证券],[11],[股份制企业],,[],"[{""qty"":10,""jname"":""诚招售后服务人员 双休"",""contacts"":[{""name"":""陈经理"",""mobile"":""17706738376"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":10,""jname"":""公司因业务需要新部门"",""contacts"":[{""name"":""俞经理"",""mobile"":""13567360689"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":5,""jname"":""公司培育处经理"",""contacts"":[{""name"":""俞经理"",""mobile"":""13567360689"",""telephone"":"""",""position"":"""",""email"":""""}]}]"
a000014,- -,3,0,110,[zl],"[[zl_CC120021960, zl_CZ120021960], [], [], [], [], []]","[, 深圳]","[{""from"":500,""to"":999}]","[48, 38, 23]","[加工制造（原料加工/模具）, 石油/石化/化工, 耐用消费品（服饰/纺织/皮革/家具/家电）]",[1],[外商独资],0755-83598262,"[{""qty"":1,""jname"":""高级实验室技术员Senior Lab Technician"",""contacts"":[]},{""qty"":1,""jname"":""操作技术员"",""contacts"":[]},{""qty"":1,""jname"":""检验员"",""contacts"":[]}]","[{""qty"":2,""jname"":""Senior Buyer/Planner 高级采购/计划员"",""contacts"":[]},{""qty"":1,""jname"":""Senior Process Engineer 高级工艺工程师""},{""qty"":1,""jname"":""Process Engineer（PEV） 工艺工程师"",""contacts"":[]}]"
a000015,no company,0,0,49,[zl],"[[zl_CZ288132730, zl_CC288132733], [], [], [], [], []]","[, 南京]","[{""from"":500,""to"":999}]","[6, 8, 30]","[媒体/出版/影视/文化传播, 房地产/建筑/建材/工程, 物业管理/商业中心]",[4],[民营],,[],"[{""qty"":4,""jname"":""店长/营运经理/行政经理/市场经理"",""contacts"":[]},{""qty"":4,""jname"":""店长/营运经理/市场经理/行政经理"",""contacts"":[]},{""qty"":4,""jname"":""店长/运营经理/行政经理/市场经理"",""contacts"":[]}]"
a000016,914978653443789000,0,0,99,"[zl, lp]","[[zl_CC202564412, zl_CZ202564410], [], [lp_8138549], [], [], []]","[, 江门]","[{""from"":500,""to"":999}]",[6],"[房地产/建筑/建材/工程, 房地产开发/建筑/建材/工程]","[11, 10]","[股份制企业, 国内上市公司]",0750-6398999,[],"[{""qty"":10,""jname"":""技术方向储备干部"",""contacts"":[]},{""qty"":10,""jname"":""应届毕业生"",""contacts"":[]},{""qty"":5,""jname"":""销售工程师（广州）"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""linct@sypglass.com""}]}]"
a000017,no company,0,0,3,[zl],"[[zl_CC523604221, zl_CZ523604220], [], [], [], [], []]","[, 北京]","[{""from"":500,""to"":999}]","[52, 57, 59, 45]","[环保, 跨领域经营, 交通/运输, 政府/公共事业/非盈利机构]",[11],[股份制企业],,[],"[{""qty"":1,""jname"":""西宁公共自行车副主任"",""contacts"":[]},{""qty"":1,""jname"":""运营部副主任"",""contacts"":[]},{""qty"":1,""jname"":""运营副主任"",""contacts"":[]}]"
a000018,no company,9,2,34,[zl],"[[zl_CC644861832, zl_CZ644861830], [], [], [], [], []]","[, 泸州]","[{""from"":500,""to"":999}]",[32],[印刷/包装/造纸],[11],[股份制企业],,"[{""qty"":25,""jname"":""普工（临时工）"",""contacts"":[]},{""qty"":2,""jname"":""机械设计师"",""contacts"":[]},{""qty"":2,""jname"":""塑模维修工"",""contacts"":[]}]","[{""qty"":25,""jname"":""普工（临时工）"",""contacts"":[]},{""qty"":20,""jname"":""普工"",""contacts"":[]},{""qty"":3,""jname"":""结构设计师"",""contacts"":[]}]"
a000019,no company,0,0,10,[zl],"[[zl_CZ897271630], [], [], [], [], []]",[南京],"[{""from"":10000,""to"":-1}]",[56],[外包服务],[4],[民营],,[],"[{""qty"":3,""jname"":""sales engineer"",""contacts"":[]},{""qty"":3,""jname"":""sales engineer"",""contacts"":[]},{""qty"":2,""jname"":""Office Mamager"",""contacts"":[]}]"
a000020,no company,0,0,2,[gj],"[[], [], [], [], [], [gj_105521911]]",[],"[{""from"":500,""to"":999}]",[44],[贸易/交通/运输/物流],[4],[民营],,[],"[{""qty"":21,""jname"":""司机"",""contacts"":[]},{""qty"":10,""jname"":""货运司机"",""contacts"":[]}]"
a000021,914409876544343457,0,0,66,[lg],"[[], [], [], [lg_203315], [], []]",[深圳],"[{""from"":2000,""to"":-1}]",[0],[其他、企业服务],[0],[],0755-27980988,[],"[{""qty"":3,""jname"":""招商经理（大健康领域）"",""contacts"":[]},{""qty"":3,""jname"":""咖啡厅店长助理/服务员"",""contacts"":[]},{""qty"":3,""jname"":""公寓管家/储备店长/店长助理"",""contacts"":[]}]"
a000022,no company,0,0,84,[gj],"[[], [], [], [], [], [gj_106321901]]",[],"[{""from"":500,""to"":999}]",[58],[其它行业],[4],[民营],,[],"[{""qty"":30,""jname"":""浑南热力招聘"",""contacts"":[{""name"":""白晓东"",""mobile"":""13804996870"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":30,""jname"":""国润低碳热力招聘普工、管工、水暖工、调度"",""contacts"":[]},{""qty"":30,""jname"":""浑南热力招聘"",""contacts"":[]}]"
a000023,no company,0,0,51,[gj],"[[], [], [], [], [], [gj_106046791]]",[],"[{""from"":500,""to"":999}]",[1],[计算机/网络/通信],[2],[合资],,[],"[{""qty"":9,""jname"":""销售  包住 高薪""},{""qty"":9,""jname"":""网络推广 周末双休""},{""qty"":9,""jname"":""网络销售（高提成，包住，双休）""}]"
a000024,- -,7,0,237,"[zl, lp, lg]","[[zl_CC197868313, zl_CC197868310, zl_CZ197868310], [], [lp_2188858], [lg_57188], [], []]","[, 南京]","[{""from"":500,""to"":2000}, {""from"":500,""to"":999}]","[0, 2, 4, 23, 24]","[生活服务, 互联网/电子商务, 计算机软件, 零售/批发, 耐用消费品（服饰/纺织/皮革/家具/家电）, 服装服饰/纺织/皮革, 电子商务]","[0, 4]","[, 私营·民营企业, 民营]",025-58289588,"[{""qty"":3,""jname"":""导购/店长"",""contacts"":[]},{""qty"":2,""jname"":""打样师"",""contacts"":[]},{""qty"":1,""jname"":""推版师"",""contacts"":[]}]","[{""qty"":8,""jname"":""销售主管""},{""qty"":5,""jname"":""管理培训生——业务方向"",""contacts"":[]},{""qty"":4,""jname"":""区域销售经理"",""contacts"":[]}]"
a000025,911546789900000076,0,0,15,"[gj, lp]","[[], [], [lp_8008954], [], [], [gj_105395360]]","[, 北京]","[{""from"":1000,""to"":9999}, {""from"":2000,""to"":5000}]",[17],"[教育/培训, 教育/培训/学术/科研/院校]","[2, 4]","[中外合营(合资·合作), 民营]",010-58781616,[],"[{""qty"":3,""jname"":""韩语老师兼职/日薪300"",""contacts"":[{""name"":""张老师"",""mobile"":"""",""telephone"":""01058781723"",""position"":"""",""email"":""""}]},{""qty"":3,""jname"":""前台接待/双休/不加班"",""contacts"":[{""name"":""张老师"",""mobile"":"""",""telephone"":""01058781723"",""position"":"""",""email"":""""}]},{""qty"":3,""jname"":""前台接待/可接受优秀毕业生"",""contacts"":[{""name"":""张老师"",""mobile"":"""",""telephone"":""01058781723"",""position"":"""",""email"":""""}]}]"
a000026,no company,0,0,1,[zl],"[[zl_CZ461117130], [], [], [], [], []]",[武汉],"[{""from"":10000,""to"":-1}]",[24],[零售/批发],[10],[上市公司],,[],"[{""qty"":2,""jname"":""茶艺师/导购员"",""contacts"":[]}]"
a000027,no company,3,0,86,[lp],"[[], [], [lp_8042328], [], [], []]",[合肥],"[{""from"":500,""to"":999}]",[17],[教育/培训/学术/科研/院校],[7],[事业单位],,"[{""qty"":2,""jname"":""技术销售"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""3212359318@qq.com""}]},{""qty"":2,""jname"":""免疫细胞治疗研究助理"",""contacts"":[]},{""qty"":2,""jname"":""技术推广"",""contacts"":[]}]","[{""qty"":12,""jname"":""中国科大先研院实习生、兼职招聘"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""zhuyanting@ustciat.cn""}]},{""qty"":10,""jname"":""博士后研究员"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""joywang1988@foxmail.com""}]},{""qty"":6,""jname"":""博士后"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""joywang1988@foxmail.com""}]}]"
a000028,no company,1,0,23,"[gj, lp]","[[], [], [lp_9369257], [], [], [gj_105610599]]","[, 北京]","[{""from"":1000,""to"":9999}, {""from"":10000,""to"":-1}]",[10],"[金融/银行/投资/基金/证券, 基金/证券/期货/投资]","[11, 4]","[股份制企业, 私营·民营企业]",,"[{""qty"":-1,""jname"":""客户经理"",""contacts"":[]}]","[{""qty"":30,""jname"":""高薪销售总监"",""contacts"":[{""name"":""艾经理"",""mobile"":""18611910442"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":30,""jname"":""电话销售"",""contacts"":[{""name"":""艾经理"",""mobile"":""18611910442"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":20,""jname"":""挑战高薪职位"",""contacts"":[{""name"":""曾经理"",""mobile"":""18611910442"",""telephone"":"""",""position"":"""",""email"":""""}]}]"
a000029,no company,2,0,7,[gj],"[[], [], [], [], [], [gj_106638112]]",[],"[{""from"":1000,""to"":9999}]",[17],[教育/培训],[4],[民营],,"[{""qty"":3,""jname"":""少儿英语教师"",""contacts"":[{""name"":""程老师"",""mobile"":""18929185027"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":2,""jname"":""书法兼职"",""contacts"":[{""name"":""程老师"",""mobile"":""18929185027"",""telephone"":"""",""position"":"""",""email"":""""}]}]","[{""qty"":3,""jname"":""少儿英语教师"",""contacts"":[{""name"":""程老师"",""mobile"":""18929185027"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":3,""jname"":""少儿英语口语助教"",""contacts"":[{""name"":""程校"",""mobile"":""18929185027"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":2,""jname"":""少儿英语教师"",""contacts"":[{""name"":""程老师"",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""""}]}]"
a000030,no company,0,0,28,[gj],"[[], [], [], [], [], [gj_105184358]]",[],"[{""from"":500,""to"":999}]",[58],[生产/制造],[0],[外商独资],,[],"[{""qty"":100,""jname"":""扬州八里镇电子厂免费直招"",""contacts"":[{""name"":""徐先生"",""mobile"":""18601661043"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":100,""jname"":""上海华硕苹果产线人事高薪直招男女普工 （上海职位）"",""contacts"":[{""name"":""徐先生"",""mobile"":""18601661043"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":100,""jname"":""太阳能厂4000以上包吃住交五险一金"",""contacts"":[{""name"":""徐先生"",""mobile"":""18601661043"",""telephone"":"""",""position"":"""",""email"":""""}]}]"
